Standard,Non-Standard
salamat ate,slmt te
dahan dahan mong bitawan,dahan2 mng btwan
dahil minsan,dhil mnsan
labis na nahihirapan,lbis na nhi2rapn
hindi na papayag,d n ppyag
pintig ng aking dibdib,pntg ng aqng dib2
kung hindi man tayo,kundi mn tau
hindi na aasa pa,ndi n asa p
marami matututunan dito,mrami natu3nan d2
labis na nahihirapan,lbis n nhi2rapn
akala ko naman ano na,akla q nmn no n
bitawan mo na,btwan m n
gawa nalang kayo ikalawa,gwa nlng kau iklawa
baliw na baliw sayo mahal,bliw n bliw sau mhal
kakadiri kayo,kkdiri kau
pwede ka mag artista,pede k mg artsta
hindi ko napanood ito,dko npanod i2
hanep kayong lahat,anep kaung lht
wag magtatangka,wg mgttangka
hanggang dulo,hnggng dlo
nandito lang ako,nand2 lng aq
hindi ako lalayo,ndi aq la2yo
panalangin ko ay ikaw,pnalangin q i ikw
hindi bale na,d ble n
lumulubog na araw,lmulubog n arw
nasisilayan ka,nacclayn k
pero matagal na ba kayo,pro mtgal n b kau
ayaw kitang mawala,ayw ktang mwla
panalo talaga ito,pnalo tlga i2
ikaw lang sapat na,ikw lng spt n
parang mga bata lang,prang mga bta lng
ayuko ko muna magsalita,auko q mna mgslita
nasa kabila sila,nsa kbila cla
ang husay niyo,an hsay nyo
kala ko malalim,kla q mlalim
nagkaayos na sila,ngkayos n cla
kinakarma kana ba,qnakrma kna b
sa labas nalang kayo,s lbas nlng kau
naisahan tayo,nisahan tau
mabuti nalang talaga,mbuti nlng tlga
nabasa ko na isip mo,nbsa q n icp m
gago akala ko totoo,ggo akla q 22o
wala kwenta,ala wenta
may na alala ako,my n ala2 aq
ang ganda ko,an gnda q
dami kong tawa dito,dmi qng twa d2
hindi maganda ugali,ndi mgnda ugli
sana may regalo,sna my rgalo
halata na agad,hlata n agd
alagaan mo siya,algaan m xa
asikasuhin mo,ackasuhin m
noong may nakita ako,nung my nkta aq
sabi ko na katarantaduhan ito,sbi q n ktarntaduhan i2
galing mag sinungaling,gling mg cnungaling
pagtingin sayo,pgtingin sau
gwapo ng mga lalaking to,gwpo ng mga la2king 2
maselang bahag hari,mselang bhag hri
mukha palang,mkha plng
sa huli agad ako,s uli agd aq
sineryoso ng iba,cneryoso ng ba
grabe tahol ko dito,grbe thol q d2
patulong naman kami,p2long nmn kmi
simula pa lang,cmula p lng
lakas gawan,lkas gwan
totoo kaya to,22o kya 2
grabe tawa ko,grbe twa q
ginawa niyo nanaman tanga kami,gnwa nyo nnmn tnga kmi
nagpapagamit kayo,ngpa2gmit kau
dami niyong alam,dmi nyong lam
papansin kayong dalawa,ppncn kaung dlwa
papalapit sayo,pplapit sau
hingin ang iyong kamay,hingn an yong kmy
sa tagal ng pagsasama niyo,s tgal ng pgsa2ma nyo
bakit kumalat,bat qmalat
darating ang gabi,drating an gbi
ngayon aasa ba,ngaun asa b
kahit sandali,khit sndli
palayain ang puso,playain an pso
halata kana,hlta kna
wala nabang iba,wla nbng ba
kung darating din,kun drating dn
walang pipigil saatin,wlng ppigil stin
maibabalik ang kahapon,maiba2lik an khapon
kahit sandali,khit sndli
magkatabi talaga sila,mgktbi tlga cla
hindi na para saatin,ndi n pra stin
bawat minuto,bwat mnuto
maghihintay sayo,mghi2ntay sau
kasalanan ba,kaslanan b
huling pagkakataon,uling pgka2taon
patawarin mo ako,ptwarin m aq
pwede ba magmura,pede b mgmura
sana may natutunan kayo,sna my na22nan kau
hindi maayos,hnd mayos
wag kayo mag laro,wg kau mg lro
hindi masabi,ndi msbi
hindi makalapit,ndi mkalpit
sabik sa iyo,sbik s yo
hanggang sayo nalang,hnggng sau nlng
basta ako natatawa,bsta aq nttawa
kagandahan mo,kgndahan m
ako ay alipin mo,aq i alipn m
salita naman kayo,slita nmn kau
sa mukha,s mkha
alam ko na,lam q n
may sayad,my syad
sila yung nagrereklamo,cla yng ngrrklamo
parang may saltik,prang my sltik
wala sa hulog,wla s ulog
lupit ko talaga,lpit q tlga
baka mahilig sa kabataan,bka mhilig s kbataan
natapos na ang lahat,ntapos n an lht
andito parin ako,and2 prin aq
hetong nakatulala,he2ng nkatula2
sa mundo,s mndo
hindi mo makikita,ndi m maki2ta
mga pangarap ko,mga pngarp q
para sayo lang,pra sau lng
kung wala ka,kun wla k
sa buhay ko,s buhy q
nariyan ka paba,nriyan k pba
hindi kana matanaw,ndi kna mtanw
bakit ba sila nanaman,bat b cla nnmn
naalala ko tuloy mga araw dati,nlala q 2loy mga arw dti
nasayang oras ko,nsayng ors q
mapapa hay nako nalang ako,mppa ay nko nlng aq
sundan mo,sndan m
Hindi maayos paglalaba niyo,Hndi maaus pgllaba nyo
Hanep akala ko kong ano na,Hnep kala q kng nu n
wag na lang kayong gumaya diyan walang puturo iyan,wg n lng kaung gmaya jan wlang pturo yan
halata naman,hlata naman
WALANG NAKAKATUWA.,WLANG NKKTUWA.
ANG BAHO NAMAN TALAGA KASI,AMBAHO NMAN TLAGA KAC
idol lang malakas,lodi lng sakalam
di ko kayang panoorin,d q kyang pano2rin
imbis pag usapan,mbis pg usapn
sa magkarelasyon talaga iyon,s mgkrelaxon tlg un
kami pa noon,kmi p nun
sinasabi ko sa kanya grabe iyong amoy niya,cnsv q s knya grav ung moy nya
kasi iyong sigarilyo,kc ung cgrilyo
tapos siya naman sinasabi niya iyon,taz sya nmn cnsv nya yun
ako naman pala,aq nmn pla
may ganoon ba,my gnun b
ako naman lagi,aq nmn lgi
nandito na siya,and2 n sya
Kinanta ko habang binabasa ko,Knanta q hbang bnabasa q
ang dami niyan,andami nyan
Nagawang kanta pa tuloy,Ngawang knta p tloy
baka naglilihi siya kaya ganoon,bka nglilihi sya kya ganun
para sumikat lang,pra sumikt lng
wala naman usapan,wla nmn usapn
Nakakaawa naman kayo,Nkakaawa nman kau
nakaka bwiset ito,nkka busit to
dapat pa talaga?,dpt p tlaga?
Madami ganiyan,Mdme gnyn
parang walang respeto,prang wlang rspto
minsan nahihya kami,mnsan nhihiya kmi
Hindi iyan maayos,Hndi yan maaus
nakit hindi ninyo pagusapan,bat di nyo pagusapan
nadali ninyo kami doon idol,nadale nyo kmi dun lodi
alam ko na kaagad,lam q n kaagad
nakakatawa sila,nakakatawa cla
walang kwenta,wlang kwenta
nkkatuwa nman,nakakatuwa naman
bakit hindi niya itapon,bkit ndi nya itapun
adik ka ba,adk k b
padalhan mo nalang,pdalhan m nlng
gawa gawa mo lang iyan,gwa gwa m lng yan
masarap ako,msarap aq
dami mong problema,dami mung problima
ganyan talaga ang nangyayare,gnyan tlga ang nangyyare
ipakita mo ulit,ipaketa mu ulet
magkaroon ng suporta,mgkarun ng supurta
pwede naman pagusapan,pede namn pagusapan
nagpapatunong ng pangalan,ngpapatunong ng pngalan
ako lang ba nakapansin,aq lng b nakapansin
akala ko kung ano na,kala q kung anu n
hindi mabaho,di mabahu
kwento pala,kwintu pla
tawa nalang ako,tawa nlng aq
ganda talaga,gnda tlga
gusto lang lumabas,gustu lng lumabas
mga baliw,mga bliw
maglalagay na rin ako,mgllagay n rin aq
sa tagal ng panahon,s tgal ng panahon
ang liit ng problema,ang liet ng problima
tinipid mo pati pangbahay,tinepid m pti pangbahay
papansin talaga sila,papasin tlga cla
sinabi ko na nga ba,cnabi q n nga b
bwiset talaga,boyset talga
hindi mabango,ndi mabango
para kayong bata,pra kayung bata
bakit kayo nagaaway,bkit kayu nagaaway
ano ba yan nakakahiya,nu b yan nakakahiya
papansin kayo,papansin kyo
natawa ako sa maasim,ntawa aq sa maasim
galing ng dalawa,gling ng dalwa
nakakatawa yung dalawa,nakkatawa yung dlwa
dapat magtulungan,dpat magtulungan
nakakatawa ka talaga,nakaktawa k talga
pasaway sila,pasaway cla
iba ka talaga,iba k tlaga
baka buntis,bka bontis
walang amoy,walng amoy
syempre mabaho,syempri mabho
magusap nalang,magusap nalng
dapat lahat,dapt lhat
ano ba ito,anu b 2
nakakagulat naman,nakkagulat nman
matagal na kasi,matagal n kac
baka naman naglilihi,baka nman naglilihi
ganyan nga kasi,ganyan kc
akala ko seryoso,kala q cryosu
magpaliwanag ka kasi,magliwanag k kc
diretsyohin mo na,diretsohin m na
ganyan ka din dati,ganyan k din dti
sinungaling ka,cnungaling k
pareho lang sila,parihu lng cla
pakitang tao,paktang tao
anong ginagawa ninyo,anung gnagawa nyu
nasayang na naman,nsyang n nman
akala ko totoo,kala q 22o
sinayang lang ang oras,cnayang lng ang oras
may bago pala sila,my bago pala cla
gusto ninyo sumikata,gus2 nyo sumikat
galing ninyo umarte,gling nyo umarti
kabataan ngayon,kabataan ngaun
nagkalabasan ng baho,nagkalabasan ng bahu
ano na naman,anu n nmn
pareho kayong may baho,pareho kyo my baho
kalokohan lang pala,kalukohan lng pla
parang hindi na bagay,parang di n bagay
matanda na kasi,matanda n kac
away bata lang pala,away bata lng pla
basa parin kasi,basa parin kac
maglaba na lang kasi,maglaba n lng kac
grabe simpleng problema,grab cmpleng problima
bakit hindi ninyo pagusapan,bkit di nyo pagusapan
nakita ko itong post,nakita q i2ng post
sobrang amoy ng pawis,sbrang amuy ng pawes
patuyuin mabuti,patoyoin maboti
pagnakita ko sila,pgnkita q cla
kahawing niya,kahawig nya
kulang sa bilad,kolang s bilad
ganyan pala siya,ganyan pla cya
pwede kang komedyante,pwd kang komedyante
ano kabataan,anu kabataan
walang kwentang reklamo,wlng kwintang riklamu
amoy basahan,amuy basahan
tinapos ko talaga lahat,tnapus q talga lhat
na iiyak na ako,n iiyak n aq
walang katuturan,walng ka22ran
tigilan mo ako,tgilan m aq
baka hindi maayos,bka d maayos
damit nila,damit nla
ayusin mo maglaba,ayosin m maglba
hindi masyadong maganda,d masyadong mganda
nakakahiya na nakakatawa,nakkhiya n nakktawa
gumamit ka ng sabon,gmamit k ng sabun
sayang oras,sayng uras
ayusin mo kasi,ayucn m kac
laos ka na kasi,laus k n kc
ginamit si idol,gnamit c lodi
bente,etneb
idol ka talaga,lodi k tlaga
hindi lang sikat,di lng ckat
bagay kayong dalawa,bagay kyong dalwa
kumita na naman,kumita n nmn
dami talang alam,dami tlgang alam
yabang mo,yabang m
dito ko din nakita,d2 q din nakita
makalat ang bahay,mkalat ang bahy
hindi marunong maglaba,di mrunong mglaba
ang babaw ng problema,ang bbaw ng prob5
hindi ako naniniwala,di aq nannwala
nakakahiya ang problema ninyo,nakkhiya ang prob5 nyo
bakit tumanda ang mukha,b8 tumanda ang muka
hindi namin makakalimutan,di nmin makkalimutan
hindi pa tayo tapos,di p tayu tapus
ako nalang ang maglalaba,aq nlng ang magllaba
pusang gala,psang gla
bakit nagsilabasan,b8 nagclabasan
hindi mo ako kilala,di m aq klala
nagpaparinig lang yan sayo,nagpprinig lng yan sayu
naghihinala na ako,naghihinala n aq
kalokohan ng magasawa,klokohan ng mgawasa
manloloko kasi kayo,manloloko kc kayu
kulit ninyo,kulit nio
maligo ka kasi,maligo k kc
mas malakas pa ako,mas malakas p aq
dapat lahat na lang,dpat lhat n lng
gawan mo ng paraan,gwan m ng paraan
hindi pala totoo,hnd pla 22o
may paiyak iyak pa,my paiyak iyak p
walang gana na naman,walng gana n nman
ano ba yan,anu b yn
naisahan tayo doon,naisahan tau dun
yan lang ang sagot,yn lng ang sagut
mga hayop,mga hayp
para kayong hayop,para kaung hyp
gumawa ka nalang ng bago,gumawa k nlng ng bago
lakasan mo kasi,laksan m kac
duda talaga ako,duda talga aq
hindi na sila sikat,d n cla ckat
dapat pati asawa,dpat pat asawa
kababaw na dahilan,kabbaw n dahilan
isa lang yung kurtina,isa lng yung kortina
bakit isinapubliko pa,b8 icnapubiko p
na wow mali ako doon,n wow mali aq dun
hindi pa natuloy,di p na2loy
ayaw ko na dito sa mundo,ayw q n d2 s mundo
gusto ko na magpakamatay,gus2 q n mgpakamatay
pagod na pagod na ako,pgod n pgod n aq
iwan mo na yan,iwan m n yn
wala siyang kwenta,wla syang kwinta
lupet ng mga tao,lupit ng mga tao
kasalanan niya ito,kasalanan nya i2
laki ng tama niyo,laki ng tama nyo
pambihira naman kayo,pambihira nman kau
seryosohin ninyo kasi to,cryosohin nyo kac 2
magkakaayos lang naman sila,mgkkayos lng nman cla
tama ba rinig ko,tama b rinig q
nilapitan ko sila,nilapitan q cla
wala akong ginamit,wla aqng ginamit
kahit wala mabango yan,khit wla mabango yn
kahit hindi gumamit,khit hnd gumamit
malakas talaga,sakalam tlga
baka walang utak,baka wlng utak
magkano ang bayad sainyo,mgkano ang byad sainyo
gawagawa lang para sumikat,gwagwa lng pra sumikat
bakit ganito kayo,bak8 ganto kau
unang kita ko palang,unang kita q plng
matanda ka na,matanda k n
sobrang laki ng problema,sbrang laki ng prob5
alam niya yan,alam nya yn
yun ang sinabi niya,yun ang cnabi nya
hayop ka,hyop k
sobrang gwapo,sbrang gwapu
panahon na naman,pnahon n nmn
kailangan ng pera,kelangan ng pera
lakas ng amats,lakas ng tama
hindi naman ito reklamo,d nman i2 reklamo
imposible kasi,imposible kc
lalong sumakit ang ulo ko,lalong sumak8 ulo q
maglaba ng maayos,mglaba ng maayos
para kang hindi lalake,pra kang d lalake
madaming naka pila,mdaming nka pila
ulit ulit na lang tayo,ulet ulet n lng tau
para mapagusapan lang ba to,pra mpagusapan lng b toh
bigyan ninyo kasi,bigyan nyo kac
gawa na lang kayo ng bold,gwa n lng kau ng bold
naka abang ako dito,nka abang aq d2
doon ako sa tunay,dun ako sa tunay
lumalaos na kasi,lumalaos n kc
nakakahalata na ako,nakkhalata n aq
tapusin ninyo muna,tapucn nyo mona
hindi muna inalam,di mona inalam
laki ng tinanda ninyo,laki ng tnanda nyo
huli na kitang nakita,huli n ktang nkita
hindi na umaabot,d n umaabot
anak ng tipaklong,nak ng tpaklong
bagsak ang daming drama,bgsak and dming drama
okay na sila,ok n cla
lintik ka,lintek k
ito talaga ang korni,i2 talga ang korni
hindi mo na mahal,hind m na mhal
naalala ko yun,naalala q yun
ako lang malakas,aq lng sakalam
malupit ka talaga idol,petmalu k talga lodi
pakulo lang ang lahat,pakulo lng ang lhat
papansin lang,papancn lng
lokohin ninyo mukha ninyo,lokohin nyo mukha nyo
isip bata ka ba,icp bata k b
wala na yung tao,wla n ung tao
sila lang gumagawa,cla lng gumagwa
kinabahan ako doon,kinabahan aq dun
paborito ko ito,paburi2 q i2
hindi ko alam,d q alam
hind na kailangan pa,di n kylangan p
sino dito ang seryoso,cno d2 ang seryoso
naku sinabihan ka na,nako cnabihan k n
lakas ng kutob ko,lkas ng ku2b q
nagaabang kami,ngaabng kmi
kadiri kayo,kadiri kau
nagbibiro lang sila,ngbbro lng cla
hindi marunong maligo,di marunong maligo
anong pinagsasabi mo,anung pnagssabi m
umpisa palang,umpisa plng
hindi ko akalain,d q akalain
hindi pa ako nagbabasa,d p aq ngbbsa
muntik na kami,muntik n kmi
gawan mo ng kanta,gwan m ng knta
parang alam ko na,prang lam q n
nandito na sila,nand2 n cla
bakit ano ba yan,bk8 anu b yn
sensya na mabango ako,sinsya n mbango aq
puro kalokohan,pro klokohan
nagpapasikat lang sila idol,nagppckat lng cla
mamaya gagamit na ako,mmaya ggamit n aq
yung mukhang tuko,ung mukhang tuko
bukas araw araw na ako maliligo,bkas araw araw n aq malligo
gusto ninyo lang mapagusapan,gus2 nyo lng mapagusapan
bakit hindi mo sabihan,bk8 di m sabihan
napakawalang kwenta ninyo,npkawalng kwinta nyo
ayoko na manuod,yoko n manood
para paraan kayo,pra praan kau
seryoso akong nakikinig at nanonood,cryoso aqng nkkinig at nanonood
sino ang galit,cno ang gal8
naisahan ako doon,naisahan aq dun
akala ko kung anong mabigat na problema,kala q kung anung mbigat na prob5
akala ko na untog,kala q n untog
totoo yun pag hindi natuyo,22o un pag d na2yo
anong pakialam namin diyan,anung pkialam nmin jan
ipaparating pa kay idol,ipaparating p ky lodi
ayos ang patalastas mo idol,ays ang patalastas m lodi
ang gulo na ng mundo,ang gulo n ng mndo
kailangan lang ng sipag,kaylangan lng ng cpag
nagbasa muna ako,ngbasa mona aq
yun lang pala,un lng pla
akala ko lalakas na naman ako,kala q lalakas n nman aq
mahal ko rin sila,mahl q rn cla
kanina pa ako dito,kanna p aq d2
kulang sa pansin,kulng s pancn
pwede naman sabihin,pede nman sabihin
minsan kasi sa magasawa,minsan kc s mgasawa
ang importante mabango palagi,ang mportanti mbango plagi
bakit mo pa pinabayaan,bkt m p pnabayaan
tinapos ko pa din,tnapos q p din
hindi na kailangan pa,d n kelangan p
lahat ay napanood ko na,lhat ay napanood q n
dapat sa asawa niya sinabi,dpt xa asawa nya cnabi
kawawa naman paborito ko yan,kawawa nman paborit q yn
problema talaga ito ng magasawa,prob5 tlga i2 ng mgawasa
patawa kayo,ptawa kau
tingin sa baba,tngin s bba
labasan ng baho,lbasan ng bahi
bakit hindi maganda,bkt d mganda
naliligo pa kasi,naliligo p kc
bilib ako sa kagandahan mo,blib aq s kgandahan m
kumuha pa ng simpatya,kmuha p ng cmpatya
nakakawalang gana naman,nkkawalng gana nmn
anak ng butiki,nak ng butki
parang papansin,prang ppansin
idol akala ko totoo na,lodi kala q 22o n
pinasaya mo ako,pnasaya m aq
saludo ako sainyo,saludo aq sainyo
maayos lang na pagbalnaw,maayos lng n pgbalnaw
laki ng bayad nito,lki ng byad ni2
parang nasayang ang oras,prang nsyang ang oras
mali ako doon,mali aq dun
dapat ikaw ang magalaga,dpt ikw ang mgalaga
kukunin ka na,kkunin k n
maasim ang amoy,maasim ang amuy
bakit mukha mo ang nakita ko,bkt mukha m ang nkita q
pinagloloko ninyo kami,pnglloko nyo kmi
ewan ko sainyo,ewan q sainyo
nabiktima ninyo ako,nbktima nyo aq
gamitin mo sa damit ninyo,gmitin m s dmit nyo
ang haba naman niyan,ang hba nman nyan
dami kong tawa,dame qng tawa
hayop na yan,hayp n yn
galing umakting,gling umakteng
kakatuwa ka naman,kktuwa k nman
nagpapasikat na naman iyan,ngppasikat n nmn yan
Pwede gawan nila yan,Pwd gwan nla yan
Baka naman pasabay na,Bka nman psabay n
dios ko akala ko naman seryoso,jusko kala q nmn sryoso
seryoso pero nakakatawa,sryoso pro nkakatawa
Pati ba naman siya,Pti b nmn xa
Nakakatawa naman sila,Nkakatawa nmn cla
kasi gusto niya rin naman,kc usto nya rn nman
Ginamit pa kami,Gnmit p kme
hindi masyado,hnd maxado
nakahalata na ako,nkahalata n aq
naloka ako dito,nloka aq dto
pero tinanda na mukha,pro tnanda n mkha
dito niyo pa talaga ako dinala,dto nio p tlga aq dnala
Mayroon naman kayo,Meron nmn kau
dami lang din niyan,dmi lng dn nyan
hindi iyon kasi totoo,hnd un kc ttoo
magugustuhan niyo ito,magu2stuhan nio to
sa kanila kasi ganoon,s knila kc ganun
napakaganda naman niyan,npkganda nman nyan
ako na doon,aq n dun
di na kailangan,d n kylangan
sinabihan kana pala,cnabhan kna pla
Ano ba naman kayo,nu b nman kau
nagbibiro lang sila,ngbibiro lng cla
halata hindi seryoso,hlata hnd sryoso
hindi na dapat.,hndi n dpat.
kailangan pa ba kayo?,kelangan p b kau?
bakit di mo sinabi,bat d m cnabi
pwede na ako diyan,pwde nako jan
Naisahan niyo ako doon,Naishan nio aq don
akala ko nauntog na sa katotohanan,kala k nuntog n s kato2hanan
Kailangan mo lang pala,Kilangan m lng pla
Pwede naman sabihin,Pede nman sbihin
"ano ba yan, dapat sa asawa sabihin niya","nu b yn, dpat s aswa sbhin nya"
ano makukuha nito,nu mkukuha nto
kapag hindi lang malinis iyon,kpag hndi lng mlinis un
Bwiset nakakatawa,Buset nkakatawa
ito lang malakas,to lng sakalam
Parang papansin lang mag asawa na ito nalalaos na kasi.,Prang ppansin lng mg aswa n 2 nlalaos n kc.
grabe tawa ko dtio,grav twa q dto
bakit ganyan mukha niyo,bkit gnyan muka nio
hayop na iyan,haup n yan
may problema sila,my prblema cla
kayo lang Kaya di malinis,kau lng Kia d mlinis
Pambihira ka naman,Pambhra k nman
di mo naman malalaman,d m nman mlalaman
hindi iyan problema,hnd yan prblema
kakaiba ito ngayon,kkaiba to ngaun
ngayon dito naman,ngaun dto nman
akala ko pa naman totoo na may problema sila,kala q p nman ttoo n my prblema cla
di na sila dapat,d n cla dpat
isang dekada na,sang dkada n
baka kailangan nila,bka kelangan nla
kaloko itong mag asawa na ito,kloko to mg asawa nato
kahit di kana sumama,kht dka n suma2
di nakakatawa,d nkakatawa
talagang di sayo,tlagang d sau
dapat kayo na,dpat kau n
akala ko talaga,kla k tlaga
ngayon lang talaga,ngaun lng tlaga
ganyan din ako,gnyan dn aq
dmai pinagsasabi nito,dmi pngssabi ne2
Wala kwentang reklamo,Ala wentang rklamo
nagpapapansin lang yata para mapag usapan,ngppapansin lng ata pra mpag usapn
gumagamit siya niyan,gmgamit xa nyan
kapag kasi hindi nakuha,kpg kz nd nkuha
seryoso din ako,sryoso dn aq
iyong natawa talaga ako dito,ung ntawa tlga aq d2
Dapat pinaguusapan niyo ,Dpt pnguusapn nyo
"kasi dapat kayo na, mismo","kc dpt kau n, omsim"
dapat lang iyan sa kanila,dpt lng yn s knila
para hindi na kayo,pra hnd n kau
hindi ko iyon sinabi,hnd q un cnabi
hindi talaga,nd tlga
sana inisip nila,sna inicp nla
idol ko silang dalawa,lodi q clang dlawa
tangina ito,taena to
inamo ka,namo k
wag lang siya,wg lng xa
gusto lang nila pag usapan,usto lng nla pg usapn
Di marunong maglinis.,D mrunong mglinis.
Parang hindi iyon maganda,Prang hnd un mganda
Natawa ako sa kanila,Ntawa aq s knla
Seryoso pa naman ako,Sryoso p nmn aq
pati ba naman dito,pti b nman dto 
napanood ko na ito ngayon lang,npanood q n to ngaun lng
sino ba naman sila,cno ba nman cla
Siguro tama kayo,Cguro tma kau
ako rin naman kasi may problema,aq rn nman kc my prblema
nakaka perwisyo na nga sila,nkka prwisyo n nga cla
sunod naman kasi isipin niyo,snod nmn kc icpin nyo
wag na kayo mag sinungaling,wg n kau mg cnungaling
baliktad naman ang talim,bliktd nmn an tlim
yung hinuhuli niya,ung hinuhli nya
kahit sino magagalit,khit cno mgagalit
galing mo talaga,gling m tlga
minsan may mali din sa batas,mnsan my mli dn s btas
pineperahan pa,pneprahan p
matutulog nayan kasi puyat,m22log nyan kc puyt
tama wag kampihan,tma wg kmphan
ginalang ang matanda,gnalng an mtnda
kasi alam namin,kc alm nmin
hindi din maka intindi,ndi dn mka intndi
tingnan mo naman,tignan m nmn
magulo din eh,mgulo dn e
wala rin kayo sa lugar,wla rn kau s lgar
siya ang naliligaw,sya an nali2gaw
ignoranteng tambay,ignornteng tmbay
bawat detalye,bwt dtalye
parehas naman mali,prehas nmn mli
ang hina umintindi,an hna umintndi
kasalanan niyo yan alak pa,ksalanan nyo yn alk p
makisama ka naman,mkisma k nmn
kulungan bagsak mo,klungan bgsk m
sikat kana,ckat kna
kaw nalang pinagmamasdan ko,kw nlng pnagmmasdan q
sinugaling yan,cnungaling yn
ingat ka sa pagsasalita,ngat k s pgsa2lita
batas sa kamay niya,btas s kmay nya
parehas may mali,prehas my mli
tinutukan mo sila,tnu2kan m cla
dapat hindi kinakampihan,dpt di knakmphan
nanay paiyak iyak kapa,nay paiyk iyk kpa
walang gulo kung walang sira,wlng glo kun wlng cra
sige inom pa sa kalsada,cge nom p s klsada
grabe din kasi yung ganyan,grbe dn kc yun gnyn
tapang lang yan,tpng lng yn
masyado naman,msydo nmn
nabaliw yan,nbliw yn
kaya dumadami dahil sa mga ito,kya dumdmi dhil s mga i2
ang gulo mo kausap,an glo m kausp
maraming nang away sakanila,mrming nan awy skanla
na intindihan ko po,n intndhan q p
sana palagi biktima,sna plgi bktma
halatang nag sisinungaling,hlatang ng ccnungaling
pwede na palitan,pwd n plitan
bahala ka din,bhla k dn
dapat sa inyo ikinukulong din,dpt s inu ikinuklong dn
kung sa akin lang,kun skin lng
ganyan na palabas,gnyn n plabas
gusto lang magkapera,gsto lng mgkpera
wala sa lugar,wla s lgar
ang lalakas ng loob niyo,an la2kas ng lob nyo
kulong na agad,klong n agd
matanda pa naman,mtnda p nmn
korek ka,krek k
ang gulong kausap,an glong kausp
sila iyong tumutulong,cla yon 2mu2long
nakikita na nga,nkkita n nga
kasi pinagyayabang pa,kc pngya2bang p
dami na naman perpekto,dmi n nmn perpk2
walang disiplina yan,wlng dsiplina yn
tumanda ng paurong,2mnda ng purong
parehas may mali,prehas my mli
sana pinagsabihan na lang,sna pngsbhan n lng
baka binuhusan ko na ng malamig,bka bnuhusan q n ng mlamig
marahil may kasalanan,mrahil my ksalanan
matapang lang kasi may hawak,mtpang lng kc my hwak
galing gumawa ng kwento,gling gumwa ng kwen2
hindi lumalapit,hnd lumlpit
dumagdag pa kayo,dumgdg p kau
baka hindi niyo pinatulog,bka hnd nyo pna2log
huwag kanang sumagot,hwag knng smagot
labas kami diyan ah,lbas kmi jan a
anong oras na diba,nong ors n dba
labo labo mo kausap,labo2 m kausp
sinungaling na matanda,cnugaling n mtnda
maniwala ka diyan,mniwla k jan
bigyan yan nang leksyon,bgyn yn nan leksyon
pamamaraan walang singdakan,pama2raan wlng cndakan
kayo talaga may kasalanan,kau tlga my ksalanan
ito po tawag doon,i2 p twg don
diba pwede parin mag ingay,dba pwd prin mg ngay
hindi niya magustuhan,ndi nya mgus2han
bakit po kasi nag inuman,bkit p kc ng inumn
ipakulong mo iyan,ipaklong m iyn
gulat ka ba,glat k b
mukhang pera nga naman,mkhng pea nga nmn
dapat sa bahay niyo,dpt s bhay nyo
wag kayong maniwala sa kuwentas,wg kaung mniwla s kwentas
hindi naman niya ginagalaw,ndi nmn nya gnaglaw
gusto lang kayong palabasin,gsto lng kaung plabacn
hindi rin ako maniwala sayo,d rn aq mniwla sau
ang ingay niyo pa,an ngay nyo p
panalo ka mabuhay,pnalo k mbuhay
daldal mo naman,dal2 m nmn
walang hiya ka dami ko tawa,langya k dmi q twa
buti nga hindi kayo tinaga,bti nga ndi kau tnaga
walang laban na,wlng lbn n
walang respeto,wlng resp2
nangatwiran pa,ngatwirn p
maya maya andyan na,maya2 anjan n
loko ka bata ka mabisyo ka,lko k bta k mbsyo k
saya tingnan,sya tngnan
pwede siya mag wala,pwd sya mg wla
maraming sakit ang nararamdaman,mraming skit an nrrmdman
sira ulo ka,sra lo k
napabilib ako,npabilib aq
kaya pasensyahan nalang,kya pasensyhan nlng
kasalanan naman nila,kaslanan nmn nla
tama ginawa mo,tma gnwa m
matigas kasi,mtgas kc
tiyaka na ako,tska n aq
alam mo mali din sila,lam m mli dn cla
bawal samin ang alak,bwl smin an alk
pahingi naman bente,penge nmn etneb
mali mali na sagot mo,mali2 n sgot m
sa husgado nalang mag usap,s hsgdo nlng mg usp
babae nawala respeto,ba2e nwla rspe2
pansin ko lang hindi patas,pncn q lng ndi ptas
wag ate masisira buhay mo,wg te mccra buhy m
pa ulit ulit nalang,pa uli2 nlng
matanda mayabang,mtnda myabang
kabastusan iyon at bawal,kbas2san yon at bwl
pinagtawanan lang,pngtwnan lng
sumuko ka na,sumko k n
nakulong na ba siya,nklong n b sya
pananalita pa lang huli na,pana2lita p lng hli n
samantalang sasabihan mo,smntalang ssbihan m
tangalin na alak sa pinas,tngalin n alk s pnas
wag ka magpapalusot sa akin,wg k mgpa2lusot skin
pero naman pwede naman magpaliwanag,pro nmn pwd nmn mgpliwanag
tulog pa karamihan,2log p kramihn
hindi daw niya kilala,ndi dw nya kla2
nag dala siya ng matalim na bagay,ng dla xa ng mtlim n bgay
napakagulo naman,npkgulo nmn
bahay ng may bahay,bhay ng my bhay
tama naman ako,tma nmn aq
sinong gustong lalapit sayo,cnong gstong la2pit sau
nakakatakot baka bigla nalang,naka2takot bka bgla nlng
abangan ko ito,abngan q i2
pero buong magdamag kakagigil,pro bing mgdmg ka2ggil
